"study_id","sample_id","author","pub_year","yi","vi","pub_type","n","ed_level1","ed_level2","country","perc_white","age","perc_female","ei_construct","ei_stream","ei_measure","subject","humanities","achievement_type"
24,24,"Barisonek",2005,-0.696146194741816,0.00617714033894246,1,44,0,0,"USA",0,10,47.73,5,3,3.1,1,0,0
24,24,"Barisonek",2005,-0.458329075447708,0.0145115453228486,1,44,0,0,"USA",0,10,47.73,6,3,3.1,1,0,0
24,24,"Barisonek",2005,-0.378565390671897,0.0170677848627029,1,44,0,0,"USA",0,10,47.73,6,3,3.1,2,0,0
24,24,"Barisonek",2005,-0.227651485040206,0.0209078012542362,1,44,0,0,"USA",0,10,47.73,0,3,3.1,1,0,0
24,24,"Barisonek",2005,-0.0598405735504927,0.023089558937625,1,44,0,0,"USA",0,10,47.73,5,3,3.1,2,0,0
24,24,"Barisonek",2005,0.0489742177334287,0.0231443908063335,1,44,0,0,"USA",0,10,47.73,7,3,3.1,1,0,0
24,24,"Barisonek",2005,0.0574120706471504,0.0231027575085004,1,44,0,0,"USA",0,10,47.73,0,3,3.1,2,0,0
24,24,"Barisonek",2005,0.0961665343959664,0.0228276632760878,1,44,0,0,"USA",0,10,47.73,8,3,3.1,1,0,0
24,24,"Barisonek",2005,0.0996946188049867,0.0227958313958594,1,44,0,0,"USA",0,10,47.73,5,3,3.1,1,0,0
24,24,"Barisonek",2005,0.213187479675983,0.0211899488294304,1,44,0,0,"USA",0,10,47.73,6,3,3.1,1,0,0
24,24,"Barisonek",2005,0.227644365906595,0.0209079442000786,1,44,0,0,"USA",0,10,47.73,7,3,3.1,2,0,0
24,24,"Barisonek",2005,0.319548635242334,0.0187489317023755,1,44,0,0,"USA",0,10,47.73,0,3,3.1,1,0,0
24,24,"Barisonek",2005,0.398764066063548,0.0164478954315869,1,44,0,0,"USA",0,10,47.73,8,3,3.1,2,0,0
24,24,"Barisonek",2005,0.355157604782332,0.0177589924461849,1,44,0,0,"USA",0,10,47.73,7,3,3.1,1,0,0
24,24,"Barisonek",2005,0.724712090080326,0.00524250721558614,1,44,0,0,"USA",0,10,47.73,8,3,3.1,1,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,-0.0590593972703692,0.0053969355511884,0,185,2,1,"Australia",NA,19.9,71.95,1,1,1.1,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,-0.0304337230871374,0.00542471975470574,0,185,2,1,"Australia",NA,19.9,71.95,2,1,1.1,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.143937067834721,0.00521192104096267,0,185,2,1,"Australia",NA,19.9,71.95,0,1,1.1,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.263361574924529,0.00470702215684261,0,185,2,1,"Australia",NA,19.9,71.95,4,1,1.1,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.677729596084744,0.00158879167442092,0,185,2,1,"Australia",NA,19.9,71.95,3,1,1.1,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.0452903913447008,0.00541250961089849,0,185,2,1,"Australia",NA,19.9,71.95,NA,2,2.4,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.0629258661685544,0.00539182798737979,0,185,2,1,"Australia",NA,19.9,71.95,0,2,2.2,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.0908230752420875,0.00534549120228232,0,185,2,1,"Australia",NA,19.9,71.95,0,2,NA,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.10075829291109,0.00532499239492478,0,185,2,1,"Australia",NA,19.9,71.95,NA,2,2.4,0,0,0
25,25,"Bastian, Burns, & Nettelbeck",2005,0.102563062514817,0.00532104505217796,0,185,2,1,"Australia",NA,19.9,71.95,NA,2,2.4,0,0,0
28,28,"Berenson, Boyles & Weaver",2008,0.37174610356058,0.0091692292931614,0,82,2,2,"USA",NA,29.7,81,0,2,NA,0,0,0
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,-0.140896230847805,0.00236623299546587,0,407,0,0,"Australia",NA,10.74,50.86,1,2,2.1,1,1,1
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,-0.126839106496388,0.00238443968222752,0,407,0,0,"Australia",NA,10.74,50.86,2,2,2.1,1,1,1
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,-0.0423208289097305,0.00245423916933512,0,407,0,0,"Australia",NA,10.74,50.86,3,2,2.1,1,1,1
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0.0851065529772559,0.00242750298558038,0,407,0,0,"Australia",NA,10.74,50.86,2,2,2.1,2,1,1
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0.113432009002957,0.00240007860527381,0,407,0,0,"Australia",NA,10.74,50.86,3,2,2.1,2,1,1
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0.155847756435457,0.00234485932509021,0,407,0,0,"Australia",NA,10.74,50.86,4,2,2.1,2,1,1
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0.22627155731802,0.00221729971336608,0,407,0,0,"Australia",NA,10.74,50.86,1,2,2.1,2,1,1
29,29,"Billings, Downey, Lomas, Lloyd & Stough",2014,0.28065946343628,0.00209030837987029,0,407,0,0,"Australia",NA,10.74,50.86,4,2,2.1,1,1,1
31,31,"Bowman",2007,-0.582270882526554,0.00809016556198269,1,55,2,2,"USA",52,25.65,85,4,1,1.1,0,0,0
31,31,"Bowman",2007,-0.371629752542791,0.0137566048074238,1,55,2,2,"USA",52,25.65,85,2,1,1.1,NA,1,1
31,31,"Bowman",2007,-0.212737472970429,0.0168802546717287,1,55,2,2,"USA",52,25.65,85,3,1,1.1,0,0,0
31,31,"Bowman",2007,-0.12403876946097,0.0179530645283528,1,55,2,2,"USA",52,25.65,85,2,1,1.1,0,0,0
31,31,"Bowman",2007,-0.160409997713213,0.0175777660839599,1,55,2,2,"USA",52,25.65,85,4,1,1.1,1,1,1
31,31,"Bowman",2007,-0.0952231192096128,0.0181842098823748,1,55,2,2,"USA",52,25.65,85,4,1,1.1,2,1,1
31,31,"Bowman",2007,0.021514796295474,0.0185013785434186,1,55,2,2,"USA",52,25.65,85,0,1,1.1,0,0,0
31,31,"Bowman",2007,0.0632528505046221,0.0342073848686796,1,30,2,2,"USA",52,25.65,85,4,1,1.1,6,1,1
31,31,"Bowman",2007,0.166772089818618,0.0175027351701305,1,55,2,2,"USA",52,25.65,85,4,1,1.1,NA,1,1
31,31,"Bowman",2007,0.136407487709772,0.0332114556945868,1,30,2,2,"USA",52,25.65,85,2,1,1.1,6,1,1
31,31,"Bowman",2007,0.15657958847115,0.0176216066009611,1,55,2,2,"USA",52,25.65,85,2,1,1.1,1,1,1
31,31,"Bowman",2007,0.22611084671565,0.0166733638820428,1,55,2,2,"USA",52,25.65,85,1,1,1.1,NA,1,1
31,31,"Bowman",2007,0.252298834142815,0.0213839638446371,1,42,2,2,"USA",52,25.65,85,1,1,1.3,2,1,1
31,31,"Bowman",2007,0.248386553291177,0.0163039744792491,1,55,2,2,"USA",52,25.65,85,1,1,1.1,0,0,0
31,31,"Bowman",2007,0.240487761913361,0.0164384460436353,1,55,2,2,"USA",52,25.65,85,1,1,1.1,2,1,1
31,31,"Bowman",2007,0.290499077272919,0.0204473706346021,1,42,2,2,"USA",52,25.65,85,1,1,1.3,0,0,0
31,31,"Bowman",2007,0.397726417772754,0.024436217234237,1,30,2,2,"USA",52,25.65,85,3,1,1.1,6,1,1
31,31,"Bowman",2007,0.439593717421789,0.0120529156245951,1,55,2,2,"USA",52,25.65,85,3,1,1.1,NA,1,1
31,31,"Bowman",2007,0.368442147332595,0.0138320134511726,1,55,2,2,"USA",52,25.65,85,2,1,1.1,2,1,1
31,31,"Bowman",2007,0.382737285453194,0.0251201043065879,1,30,2,2,"USA",52,25.65,85,1,1,1.1,6,1,1
31,31,"Bowman",2007,0.403914056264437,0.0129689568875133,1,55,2,2,"USA",52,25.65,85,1,1,1.1,1,1,1
31,31,"Bowman",2007,0.513141835105865,0.0132367186012163,1,42,2,2,"USA",52,25.65,85,1,1,1.3,1,1,1
31,31,"Bowman",2007,0.534845782539657,0.0124319587256068,1,42,2,2,"USA",52,25.65,85,1,1,1.3,0,0,0
31,31,"Bowman",2007,0.68547981769886,0.00520415700900991,1,55,2,2,"USA",52,25.65,85,3,1,1.1,1,1,1
31,31,"Bowman",2007,0.718284652982844,0.00433927801418812,1,55,2,2,"USA",52,25.65,85,3,1,1.1,2,1,1
31,31,"Bowman",2007,0.628256112658195,0.00893612530354488,1,42,2,2,"USA",52,25.65,85,1,1,1.3,NA,1,1
31,31,"Bowman",2007,0.695044397114731,0.0098962720475582,1,28,2,2,"USA",52,25.65,85,1,1,1.3,6,1,1
32,34,"Boyce",2002,-0.195412651767196,0.0165193923148798,1,57,2,2,"USA",NA,25,80.7,4,1,1.2,0,0,0
32,34,"Boyce",2002,0.206062993278544,0.0163728411323453,1,57,2,2,"USA",NA,25,80.7,1,1,1.2,0,0,0
32,34,"Boyce",2002,0.27253228426803,0.0153030162903255,1,57,2,2,"USA",NA,25,80.7,2,1,1.2,0,0,0
32,34,"Boyce",2002,0.422494561312887,0.0120510630700681,1,57,2,2,"USA",NA,25,80.7,0,1,1.2,0,0,0
32,34,"Boyce",2002,0.466647211955474,0.0109267859185065,1,57,2,2,"USA",NA,25,80.7,3,1,1.2,0,0,0
33,35,"Brackett & Mayer",2003,0.298084871598555,0.00403002891714725,0,207,2,1,"USA",97,19.01,63,0,1,1.1,0,0,0
33,35,"Brackett & Mayer",2003,0.451637103278655,0.00307599073914693,0,207,2,1,"USA",97,19.01,63,0,1,1.1,1,1,1
33,35,"Brackett & Mayer",2003,-0.0206560825156587,0.00485022735223639,0,207,2,1,"USA",97,19.01,63,0,2,2.3,0,0,0
33,35,"Brackett & Mayer",2003,0.0519400644955075,0.0048282123173058,0,207,2,1,"USA",97,19.01,63,0,2,2.3,1,1,1
33,35,"Brackett & Mayer",2003,-0.0390772537233538,0.00483955470052851,0,207,2,1,"USA",97,19.01,63,0,3,3.1,1,1,1
33,35,"Brackett & Mayer",2003,0.0518058565206045,0.00482834713346513,0,207,2,1,"USA",97,19.01,63,0,3,3.1,0,0,0
33,35,"Brackett & Mayer",2003,0.227928707321299,0.00436308721677164,0,207,2,2,"USA",97,19.01,63,0,1,1.1,0,0,0
33,35,"Brackett & Mayer",2003,0.0619813034947996,0.00481714269201276,0,207,2,2,"USA",97,19.01,63,0,2,2.3,0,0,0
33,35,"Brackett & Mayer",2003,0.129404945840445,0.0046931511477832,0,207,2,2,"USA",97,19.01,63,0,3,3.1,0,0,0
34,36,"Brackett, Mayer & Warner",2004,0.351720723955882,0.00233400790952815,0,330,2,1,"USA",96,18.5,73.03,NA,1,1.1,1,1,1
34,36,"Brackett, Mayer & Warner",2004,0.501217098998025,0.00170417511989672,0,330,2,1,"USA",96,18.5,73.03,0,1,1.1,1,1,1
34,36,"Brackett, Mayer & Warner",2004,0.578532469087984,0.00134536271261379,0,330,2,1,"USA",96,18.5,73.03,NA,1,1.1,1,1,1
34,36,"Brackett, Mayer & Warner",2004,0.108096874130394,0.00296889565134851,0,330,2,2,"USA",96,18.5,73.03,NA,1,1.1,0,0,0
34,36,"Brackett, Mayer & Warner",2004,0.20840858135242,0.00278121048837472,0,330,2,2,"USA",96,18.5,73.03,0,1,1.1,0,0,0
34,36,"Brackett, Mayer & Warner",2004,0.275531945741837,0.00259552527104691,0,330,2,2,"USA",96,18.5,73.03,NA,1,1.1,0,0,0
35,37,"Bradshaw",2008,0.214691097328809,0.0154227112297932,1,60,2,2,"USA",0,20.22,100,0,1,1.1,0,0,0
35,37,"Bradshaw",2008,0.0359283072758362,0.0169054233855749,1,60,2,2,"USA",0,20.22,100,5,3,3.1,0,0,0
35,37,"Bradshaw",2008,0.138981399277715,0.01630070241649,1,60,2,2,"USA",0,20.22,100,6,3,3.1,0,0,0
35,37,"Bradshaw",2008,0.186046302486,0.0157961291885253,1,60,2,2,"USA",0,20.22,100,8,3,3.1,0,0,0
35,37,"Bradshaw",2008,0.212046973615528,0.0154592189148234,1,60,2,2,"USA",0,20.22,100,9,3,3.1,0,0,0
35,37,"Bradshaw",2008,0.234703702747766,0.0151332676659089,1,60,2,2,"USA",0,20.22,100,0,3,3.1,0,0,0
35,37,"Bradshaw",2008,0.331080860120525,0.0134370555019092,1,60,2,2,"USA",0,20.22,100,7,3,3.1,0,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,-0.197538521726154,0.0087950451409474,0,106,0,0,"Egypt",NA,8.75,48,5,3,3.1,1,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,-0.137530030894071,0.00916694037971722,0,106,0,0,"Egypt",NA,8.75,48,7,3,3.1,2,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.0432277079510383,0.00948824973644163,0,106,0,0,"Egypt",NA,8.75,48,6,3,3.1,2,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.124985307076458,0.0092285844941598,0,106,0,0,"Egypt",NA,8.75,48,0,3,3.1,2,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.172722332602826,0.00896403809313207,0,106,0,0,"Egypt",NA,8.75,48,6,3,3.1,1,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.17871214296865,0.00892518073975453,0,106,0,0,"Egypt",NA,8.75,48,7,3,3.1,1,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.194076754603925,0.00881987750600817,0,106,0,0,"Egypt",NA,8.75,48,0,3,3.1,1,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.209958352798221,0.00870264997962341,0,106,0,0,"Egypt",NA,8.75,48,5,3,3.1,2,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.255683980635312,0.00831928764691313,0,106,0,0,"Egypt",NA,8.75,48,8,3,3.1,1,0,0
36,38,"Brouzos, Misailidi & Hadjimattheou",2014,0.277631299367445,0.00811221825521709,0,106,0,0,"Egypt",NA,8.75,48,8,3,3.1,2,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.232640534934907,0.00912944808774385,0,99,0,0,"Egypt",NA,11.22,51.51,6,3,3.1,2,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.247100868330723,0.00899602554669677,0,99,0,0,"Egypt",NA,11.22,51.51,6,3,3.1,1,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.309109625103995,0.00834726576466433,0,99,0,0,"Egypt",NA,11.22,51.51,8,3,3.1,1,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.29841853112106,0.00846758477297653,0,99,0,0,"Egypt",NA,11.22,51.51,5,3,3.1,2,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.322969035356458,0.00818635072881313,0,99,0,0,"Egypt",NA,11.22,51.51,8,3,3.1,2,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.36649071296601,0.00764703829351461,0,99,0,0,"Egypt",NA,11.22,51.51,7,3,3.1,2,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.376821231473648,0.00751197840156637,0,99,0,0,"Egypt",NA,11.22,51.51,5,3,3.1,1,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.393429909488637,0.00728964139805612,0,99,0,0,"Egypt",NA,11.22,51.51,7,3,3.1,1,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.464507918838335,0.00627571884447206,0,99,0,0,"Egypt",NA,11.22,51.51,0,3,3.1,2,0,0
36,39,"Brouzos, Misailidi & Hadjimattheou",2014,0.503890130998845,0.00568017709092634,0,99,0,0,"Egypt",NA,11.22,51.51,0,3,3.1,1,0,0
39,42,"Carrothers, Gregory, & Gallagher",2000,0.0940997164071878,0.00672855406478845,0,147,1,1,"USA",NA,15.74664,56.46,0,3,NA,0,1,1
39,42,"Carrothers, Gregory, & Gallagher",2000,0.158885670039478,0.00650786287928791,0,147,1,1,"USA",NA,15.74664,56.46,0,3,NA,0,0,0
40,43,"Castro-Johnson & Wang",2003,0.181679350423141,0.00180168538499931,0,520,2,1,"USA",NA,18,57.88,0,1,1.1,0,1,1
40,43,"Castro-Johnson & Wang",2003,0.156312565974642,0.00183377604073059,0,520,2,2,"USA",NA,18,57.88,0,1,1.1,0,0,0
41,44,"Catalina, Stanescu & Mohorea",2012,-0.0783286813421489,0.0108545810799409,0,92,2,2,"Romania",NA,21.08,83.7,0,2,2.2,0,0,0
42,45,"Cavins",2006,0.508030601385096,0.00764476239719477,1,73,2,1,"USA",42.5,20,61.6,0,3,3.1,0,0,0
43,46,"Chapman & Hayslip",2005,0.0840229090050477,0.00338807609276948,0,292,2,2,"USA",66.2,19.68,74.3,0,2,2.2,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.0154663568330303,0.011899067152776,0,85,2,2,"USA",88,21.46,83.5,1,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.0772718489873646,0.0117630211287674,0,85,2,2,"USA",88,21.46,83.5,2,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.100952863185313,0.0116633441084035,0,85,2,2,"USA",88,21.46,83.5,4,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.123479601352843,0.0115445006377588,0,85,2,2,"USA",88,21.46,83.5,0,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.146508243891554,0.0113991833429746,0,85,2,2,"USA",88,21.46,83.5,4,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.154170891823521,0.0113455669239475,0,85,2,2,"USA",88,21.46,83.5,3,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.16784425412233,0.0112434554409392,0,85,2,2,"USA",88,21.46,83.5,1,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.217626517257063,0.0108038153667477,0,85,2,2,"USA",88,21.46,83.5,3,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.258780325849433,0.0103636916597963,0,85,2,2,"USA",88,21.46,83.5,0,1,1.1,0,0,0
44,47,"Cheshire, Strickland & Carter",2015,0.534136908885214,0.0060808677597337,0,85,2,2,"USA",88,21.46,83.5,2,1,1.1,0,0,0
46,49,"Chew, Zain & Hassan",2013,0.0336922327393276,0.00615883305869856,0,163,2,2,"Malaysia",NA,21.8,68.7,4,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.0673534711307946,0.00611696049132995,0,163,2,2,"Malaysia",NA,21.8,68.7,4,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.184481226912945,0.00575982482045359,0,163,2,2,"Malaysia",NA,21.8,68.7,2,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.234127701789479,0.00551464943412507,0,163,2,2,"Malaysia",NA,21.8,68.7,NA,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.283303743567336,0.00522172720782317,0,163,2,2,"Malaysia",NA,21.8,68.7,2,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.299575357374989,0.00511458917521897,0,163,2,2,"Malaysia",NA,21.8,68.7,NA,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.299575357374989,0.00511458917521897,0,163,2,2,"Malaysia",NA,21.8,68.7,3,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.347983666866221,0.00476838370871365,0,163,2,2,"Malaysia",NA,21.8,68.7,0,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.347983666866221,0.00476838370871365,0,163,2,2,"Malaysia",NA,21.8,68.7,NA,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.363973936451019,0.00464565499812736,0,163,2,2,"Malaysia",NA,21.8,68.7,1,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.363973936451019,0.00464565499812736,0,163,2,2,"Malaysia",NA,21.8,68.7,1,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.379886315648314,0.00451974810623797,0,163,2,2,"Malaysia",NA,21.8,68.7,NA,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.395717937788526,0.00439096232607136,0,163,2,2,"Malaysia",NA,21.8,68.7,0,1,1.1,7,0,0
46,49,"Chew, Zain & Hassan",2013,0.395717937788526,0.00439096232607136,0,163,2,2,"Malaysia",NA,21.8,68.7,3,1,1.1,7,0,0
47,50,"Clark",2004,0.242262512359106,0.00553788998970185,1,161,1,1,"USA",64.3,15.74664,67.7,0,3,3.1,2,1,1
